novo_arquivo,arquivo_original,subconjunto,particao
img_0001.png,1.png,stenosis,train
img_0002.png,2.png,stenosis,train
img_0003.png,3.png,stenosis,train
img_0004.png,4.png,stenosis,train
img_0005.png,5.png,stenosis,train
img_0006.png,6.png,stenosis,train
img_0007.png,7.png,stenosis,train
img_0008.png,8.png,stenosis,train
img_0009.png,9.png,stenosis,train
img_0010.png,10.png,stenosis,train
img_0011.png,11.png,stenosis,train
img_0012.png,12.png,stenosis,train
img_0013.png,13.png,stenosis,train
img_0014.png,14.png,stenosis,train
img_0015.png,15.png,stenosis,train
img_0016.png,16.png,stenosis,train
img_0017.png,17.png,stenosis,train
img_0018.png,18.png,stenosis,train
img_0019.png,19.png,stenosis,train
img_0020.png,20.png,stenosis,train
img_0021.png,21.png,stenosis,train
img_0022.png,22.png,stenosis,train
img_0023.png,23.png,stenosis,train
img_0024.png,24.png,stenosis,train
img_0025.png,25.png,stenosis,train
img_0026.png,26.png,stenosis,train
img_0027.png,27.png,stenosis,train
img_0028.png,28.png,stenosis,train
img_0029.png,29.png,stenosis,train
img_0030.png,30.png,stenosis,train
img_0031.png,31.png,stenosis,train
img_0032.png,32.png,stenosis,train
img_0033.png,33.png,stenosis,train
img_0034.png,34.png,stenosis,train
img_0035.png,35.png,stenosis,train
img_0036.png,36.png,stenosis,train
img_0037.png,37.png,stenosis,train
img_0038.png,38.png,stenosis,train
img_0039.png,39.png,stenosis,train
img_0040.png,40.png,stenosis,train
img_0041.png,41.png,stenosis,train
img_0042.png,42.png,stenosis,train
img_0043.png,43.png,stenosis,train
img_0044.png,44.png,stenosis,train
img_0045.png,45.png,stenosis,train
img_0046.png,46.png,stenosis,train
img_0047.png,47.png,stenosis,train
img_0048.png,48.png,stenosis,train
img_0049.png,49.png,stenosis,train
img_0050.png,50.png,stenosis,train
img_0051.png,51.png,stenosis,train
img_0052.png,52.png,stenosis,train
img_0053.png,53.png,stenosis,train
img_0054.png,54.png,stenosis,train
img_0055.png,55.png,stenosis,train
img_0056.png,56.png,stenosis,train
img_0057.png,57.png,stenosis,train
img_0058.png,58.png,stenosis,train
img_0059.png,59.png,stenosis,train
img_0060.png,60.png,stenosis,train
img_0061.png,61.png,stenosis,train
img_0062.png,62.png,stenosis,train
img_0063.png,63.png,stenosis,train
img_0064.png,64.png,stenosis,train
img_0065.png,65.png,stenosis,train
img_0066.png,66.png,stenosis,train
img_0067.png,67.png,stenosis,train
img_0068.png,68.png,stenosis,train
img_0069.png,69.png,stenosis,train
img_0070.png,70.png,stenosis,train
img_0071.png,71.png,stenosis,train
img_0072.png,72.png,stenosis,train
img_0073.png,73.png,stenosis,train
img_0074.png,74.png,stenosis,train
img_0075.png,75.png,stenosis,train
img_0076.png,76.png,stenosis,train
img_0077.png,77.png,stenosis,train
img_0078.png,78.png,stenosis,train
img_0079.png,79.png,stenosis,train
img_0080.png,80.png,stenosis,train
img_0081.png,81.png,stenosis,train
img_0082.png,82.png,stenosis,train
img_0083.png,83.png,stenosis,train
img_0084.png,84.png,stenosis,train
img_0085.png,85.png,stenosis,train
img_0086.png,86.png,stenosis,train
img_0087.png,87.png,stenosis,train
img_0088.png,88.png,stenosis,train
img_0089.png,89.png,stenosis,train
img_0090.png,90.png,stenosis,train
img_0091.png,91.png,stenosis,train
img_0092.png,92.png,stenosis,train
img_0093.png,93.png,stenosis,train
img_0094.png,94.png,stenosis,train
img_0095.png,95.png,stenosis,train
img_0096.png,96.png,stenosis,train
img_0097.png,97.png,stenosis,train
img_0098.png,98.png,stenosis,train
img_0099.png,99.png,stenosis,train
img_0100.png,100.png,stenosis,train
img_0101.png,101.png,stenosis,train
img_0102.png,102.png,stenosis,train
img_0103.png,103.png,stenosis,train
img_0104.png,104.png,stenosis,train
img_0105.png,105.png,stenosis,train
img_0106.png,106.png,stenosis,train
img_0107.png,107.png,stenosis,train
img_0108.png,108.png,stenosis,train
img_0109.png,109.png,stenosis,train
img_0110.png,110.png,stenosis,train
img_0111.png,111.png,stenosis,train
img_0112.png,112.png,stenosis,train
img_0113.png,113.png,stenosis,train
img_0114.png,114.png,stenosis,train
img_0115.png,115.png,stenosis,train
img_0116.png,116.png,stenosis,train
img_0117.png,117.png,stenosis,train
img_0118.png,118.png,stenosis,train
img_0119.png,119.png,stenosis,train
img_0120.png,120.png,stenosis,train
